Despesa/Custo;Portador;Empresa;Departamento;Documento;Emissão;Vencimento;Entrada;Pessoa;Pagamentos;Descontos;Juros e Multa;Valor Pago;Valor Parcela;Valor em Aberto;
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002948702 - 001";"23/05/2024 00:00:00";"22/06/2024 00:00:00";"01/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"229,03";"229,03";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002949448 - 001";"25/05/2024 00:00:00";"09/07/2024 00:00:00";"01/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"120,80";"120,80";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002949864 - 001";"27/05/2024 00:00:00";"26/06/2024 00:00:00";"01/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"307,10";"307,10";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002949865 - 001";"27/05/2024 00:00:00";"26/06/2024 00:00:00";"01/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"921,11";"921,11";
"VIAGEM, HOSPEDAGEM E REFEIÇÕES";"DUPLICATAS A PAGAR";"CGM";"ADMINISTRATIVO";"321 - 001";"03/06/2024 00:00:00";"03/06/2024 00:00:00";"03/06/2024 00:00:00";"VILANEUVE FERREIRA DE ALMEIDA (200963)";"80,00";"0";"0";"80,00";"120,00";"40,00";
"COMPRA DE ACESSÓRIOS";"DUPLICATAS A PAGAR";"CGM";"PEÇAS";"100696/1 - 001";"29/05/2024 00:00:00";"28/06/2024 00:00:00";"03/06/2024 00:00:00";"FORMULA H COMERCIO DE MOTOS LTDA (95544)";"0";"0";"0";"0";"93,07";"93,07";
"COMPRA DE ACESSÓRIOS";"A RECEBER BOLETOS BANCÁRIOS";"CGM";"PEÇAS";"41355 - 001";"28/05/2024 00:00:00";"27/06/2024 00:00:00";"03/06/2024 00:00:00";"4TAKES INDUSTRIA, COMERCIO, SERVICOS E PARTICIPACOES LTDA (211852)";"0";"0";"0";"0";"794,99";"794,99";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002948666 - 001";"23/05/2024 00:00:00";"20/09/2024 00:00:00";"03/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"3639,61";"3639,61";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002948856 - 001";"23/05/2024 00:00:00";"20/09/2024 00:00:00";"03/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"176,33";"176,33";
"COMPRA DE PEÇAS HONDA";"DUP A PAGAR - HONDA PEÇAS";"CGM";"PEÇAS";"002950689 - 001";"29/05/2024 00:00:00";"28/06/2024 00:00:00";"03/06/2024 00:00:00";"MOTO HONDA DA AMAZONIA LTDA (9)";"0";"0";"0";"0";"63,92";"63,92";
